,track_id,cluster
0,"AdictoTainy, Anuel AA & Ozuna",92
1,The Ones That Didn't Make It Back HomeJustin Moore,62
2,ShallowLady Gaga & Bradley Cooper,9
3,EnemiesPost Malone Featuring DaBaby,92
4,"Bacc At It AgainYella Beezy, Gucci Mane & Quavo",55
5,The ArcherTaylor Swift,115
6,VIBEZDaBaby,20
7,When I Grow UpNF,64
8,Hollywood's BleedingPost Malone,79
9,What Happens In A Small TownBrantley Gilbert + Lindsay Ell,109
10,Famous HoesNLE Choppa,92
11,Cornelia StreetTaylor Swift,49
12,HeatChris Brown Featuring Gunna,71
13,Te RobareNicky Jam X Ozuna,62
14,Yellow HeartsAnt Saunders,79
15,Make It RightBTS Featuring Lauv,64
16,TimeNF,29
17,Cuban LinksRod Wave & Kevin Gates,92
18,PetaRoddy Ricch Featuring Meek Mill,96
19,INTRODaBaby,9
20,Don't Check On MeChris Brown Featuring Justin Bieber & Ink,71
21,Dance MonkeyTones And I,29
22,HeartlessThe Weeknd,58
23,"Break Up With Your Girlfriend, I'm BoredAriana Grande",36
24,"GOSPELDaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",36
25,Miss Americana & The Heartbreak PrinceTaylor Swift,20
26,Prayed For YouMatt Stell,55
27,GoldenHarry Styles,96
28,Bad Bad BadYoung Thug Featuring Lil Baby,23
29,Watermelon SugarHarry Styles,29
30,Drunk Dialing...LODTSummer Walker,59
31,Better TogetherLuke Combs,78
32,TakeawayThe Chainsmokers & Illenium Featuring Lennon Stella,29
33,LivingDierks Bentley,71
34,"SomebodyInternet Money, Lil Tecca & A Boogie Wit da Hoodie",29
35,TapNAV Featuring Meek Mill,92
36,Hate MeEllie Goulding & Juice WRLD,92
37,The ManTaylor Swift,29
38,Valentino24kGoldn,96
39,RITMO (Bad Boys For Life)The Black Eyed Peas X J Balvin,62
40,HeartlessDiplo Presents Thomas Wesley Featuring Morgan Wallen,62
41,TrampolineSHAED,79
42,God's CountryBlake Shelton,20
43,Without MeHalsey,25
44,Easier5 Seconds Of Summer,111
45,Hot ShowerChance The Rapper Featuring MadeinTYO & DaBaby,96
46,Que PretendesJ Balvin & Bad Bunny,29
47,FallingHarry Styles,30
48,HIGHEST IN THE ROOMTravis Scott,9
49,Nice To Meet YaNiall Horan,29
50,Just How It IsYoung Thug,43
51,All I Want For Christmas Is YouMariah Carey,96
52,SenoritaShawn Mendes & Camila Cabello,53
53,InternetPost Malone,43
54,BabyLil Baby & DaBaby,90
55,TOESDaBaby Featuring Lil Baby & Moneybagg Yo,96
56,OmertaDrake,8
57,Club ParadiseDrake,73
58,La CancionJ Balvin & Bad Bunny,111
59,La La LandBryce Vine Featuring YG,29
60,How Do You Sleep?Sam Smith,53
61,AfterglowTaylor Swift,30
62,"Costa RicaDreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",115
63,Sleigh RideThe Ronettes,49
64,Rockin' Around The Christmas TreeBrenda Lee,92
65,Rich As HellYoungBoy Never Broke Again,96
66,Doin' TimeLana Del Rey,96
67,AllergicPost Malone,96
68,Lucid DreamsJuice WRLD,64
69,The MotionDrake,36
70,Don't Start NowDua Lipa,90
71,Jesus Is LordKanye West,43
72,I Don't Know About YouChris Lane,96
73,The Git UpBlanco Brown,64
74,"Writing On The WallFrench Montana Featuring Post Malone, Cardi B & Rvssian",115
75,A Thousand Bad TimesPost Malone,96
76,Look Back At ItA Boogie Wit da Hoodie,29
77,CamelotNLE Choppa,58
78,GraveyardHalsey,49
79,Beer Never Broke My HeartLuke Combs,71
80,POP STARDaBaby Featuring Kevin Gates,92
81,Talk You Out Of ItFlorida Georgia Line,115
82,Good As YouKane Brown,96
83,Cash ShitMegan Thee Stallion Featuring DaBaby,79
84,Sup MateYoung Thug Featuring Future,50
85,Love Me MoreTrippie Redd,71
86,All Day LongChance The Rapper Featuring John Legend,39
87,BOPDaBaby,115
88,It's YouAli Gatie,29
89,One Thing RightMarshmello & Kane Brown,49
90,Hands OnKanye West Featuring Fred Hammond,43
91,The BonesMaren Morris,92
92,Days In The EastDrake,118
93,Bad Vibes ForeverXXXTENTACION Featuring PnB Rock & Trippie Redd,115
94,On ChillWale Featuring Jeremih,111
95,Sanguine ParadiseLil Uzi Vert,79
96,Hot NowYoungBoy Never Broke Again,111
97,"EarfquakeTyler, The Creator",92
98,One Man BandOld Dominion,92
99,MEGATRONNicki Minaj,29
100,Racks In The MiddleNipsey Hussle Featuring Roddy Ricch & Hit-Boy,92
101,A Holly Jolly ChristmasBurl Ives,20
102,CallaitaBad Bunny & Tainy,111
103,Sicko ModeTravis Scott,25
104,Do You RememberChance The Rapper Featuring Death Cab For Cutie,8
105,Rudolph The Red-Nosed ReindeerGene Autry,18
106,Whiskey GlassesMorgan Wallen,96
107,We WereKeith Urban,92
108,Hot Girl Bummerblackbear,79
109,XXLDaBaby,78
110,LiarCamila Cabello,49
