,track_id,cluster,peak_pos,artist,track
0,"AdictoTainy, Anuel AA & Ozuna",91,86.0,"Tainy, Anuel AA & Ozuna",Adicto
1,The Ones That Didn't Make It Back HomeJustin Moore,1,100.0,Justin Moore,The Ones That Didn't Make It Back Home
2,ShallowLady Gaga & Bradley Cooper,85,28.0,Lady Gaga & Bradley Cooper,Shallow
4,EnemiesPost Malone Featuring DaBaby,79,16.0,Post Malone Featuring DaBaby,Enemies
5,"Bacc At It AgainYella Beezy, Gucci Mane & Quavo",86,94.0,"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again
7,The ArcherTaylor Swift,26,69.0,Taylor Swift,The Archer
8,VIBEZDaBaby,36,21.0,DaBaby,VIBEZ
9,When I Grow UpNF,15,78.0,NF,When I Grow Up
10,Hollywood's BleedingPost Malone,58,15.0,Post Malone,Hollywood's Bleeding
11,What Happens In A Small TownBrantley Gilbert + Lindsay Ell,48,97.0,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town
12,Famous HoesNLE Choppa,18,83.0,NLE Choppa,Famous Hoes
13,Cornelia StreetTaylor Swift,30,57.0,Taylor Swift,Cornelia Street
14,HeatChris Brown Featuring Gunna,44,77.0,Chris Brown Featuring Gunna,Heat
15,Te RobareNicky Jam X Ozuna,1,95.0,Nicky Jam X Ozuna,Te Robare
17,Yellow HeartsAnt Saunders,45,81.0,Ant Saunders,Yellow Hearts
18,Make It RightBTS Featuring Lauv,112,76.0,BTS Featuring Lauv,Make It Right
19,TimeNF,28,92.0,NF,Time
20,Cuban LinksRod Wave & Kevin Gates,24,95.0,Rod Wave & Kevin Gates,Cuban Links
21,PetaRoddy Ricch Featuring Meek Mill,15,72.0,Roddy Ricch Featuring Meek Mill,Peta
22,INTRODaBaby,21,17.0,DaBaby,INTRO
23,Don't Check On MeChris Brown Featuring Justin Bieber & Ink,48,67.0,Chris Brown Featuring Justin Bieber & Ink,Don't Check On Me
24,Dance MonkeyTones And I,35,96.0,Tones And I,Dance Monkey
25,HeartlessThe Weeknd,93,32.0,The Weeknd,Heartless
26,"Break Up With Your Girlfriend, I'm BoredAriana Grande",82,2.0,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored"
27,"GOSPELDaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",87,55.0,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",GOSPEL
28,Miss Americana & The Heartbreak PrinceTaylor Swift,92,49.0,Taylor Swift,Miss Americana & The Heartbreak Prince
29,Prayed For YouMatt Stell,35,99.0,Matt Stell,Prayed For You
30,GoldenHarry Styles,35,86.0,Harry Styles,Golden
31,Bad Bad BadYoung Thug Featuring Lil Baby,76,32.0,Young Thug Featuring Lil Baby,Bad Bad Bad
33,Watermelon SugarHarry Styles,21,92.0,Harry Styles,Watermelon Sugar
34,Drunk Dialing...LODTSummer Walker,1,79.0,Summer Walker,Drunk Dialing...LODT
35,Better TogetherLuke Combs,0,72.0,Luke Combs,Better Together
36,TakeawayThe Chainsmokers & Illenium Featuring Lennon Stella,35,98.0,The Chainsmokers & Illenium Featuring Lennon Stella,Takeaway
37,LivingDierks Bentley,81,82.0,Dierks Bentley,Living
38,"SomebodyInternet Money, Lil Tecca & A Boogie Wit da Hoodie",21,97.0,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",Somebody
39,TapNAV Featuring Meek Mill,76,95.0,NAV Featuring Meek Mill,Tap
41,Hate MeEllie Goulding & Juice WRLD,49,82.0,Ellie Goulding & Juice WRLD,Hate Me
42,The ManTaylor Swift,82,23.0,Taylor Swift,The Man
43,Valentino24kGoldn,3,92.0,24kGoldn,Valentino
44,RITMO (Bad Boys For Life)The Black Eyed Peas X J Balvin,1,100.0,The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life)
45,HeartlessDiplo Presents Thomas Wesley Featuring Morgan Wallen,1,95.0,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless
46,TrampolineSHAED,83,99.0,SHAED,Trampoline
48,God's CountryBlake Shelton,48,59.0,Blake Shelton,God's Country
50,Without MeHalsey,93,18.0,Halsey,Without Me
52,Easier5 Seconds Of Summer,58,48.0,5 Seconds Of Summer,Easier
54,Hot ShowerChance The Rapper Featuring MadeinTYO & DaBaby,112,91.0,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower
